,O*NET-SOC Code,Title,Example,Hot Technology,In Demand
44,11-1011.00,Chief Executives,Sage 50 Accounting,N,N
45,11-1011.00,Chief Executives,SAP software,Y,N
46,11-1011.00,Chief Executives,SmugMug Flickr,N,N
47,11-1011.00,Chief Executives,Structured query language SQL,Y,N
48,11-1011.00,Chief Executives,Web browser software,N,N
49,11-1011.03,Chief Sustainability Officers,Adobe Acrobat,Y,N
50,11-1011.03,Chief Sustainability Officers,Adobe Photoshop,Y,N
51,11-1011.03,Chief Sustainability Officers,Email software,N,N
52,11-1011.03,Chief Sustainability Officers,Facebook,Y,N
53,11-1011.03,Chief Sustainability Officers,Management information systems MIS,N,N
54,11-1011.03,Chief Sustainability Officers,Microsoft Access,Y,N
55,11-1011.03,Chief Sustainability Officers,Microsoft Dynamics GP,N,N
56,11-1011.03,Chief Sustainability Officers,Microsoft Excel,Y,Y
57,11-1011.03,Chief Sustainability Officers,Microsoft Office software,Y,Y
58,11-1011.03,Chief Sustainability Officers,Microsoft Outlook,Y,Y
59,11-1011.03,Chief Sustainability Officers,Microsoft PowerPoint,Y,Y
60,11-1011.03,Chief Sustainability Officers,Microsoft Project,Y,N
61,11-1011.03,Chief Sustainability Officers,Microsoft SharePoint,Y,N
62,11-1011.03,Chief Sustainability Officers,Microsoft Word,Y,N
63,11-1011.03,Chief Sustainability Officers,Salesforce software,Y,N
64,11-1011.03,Chief Sustainability Officers,SAP software,Y,N
65,11-1011.03,Chief Sustainability Officers,Scheduling software,N,N
66,11-1011.03,Chief Sustainability Officers,Structure query language SQL,N,N
67,11-1011.03,Chief Sustainability Officers,Tableau,Y,N
68,11-1011.03,Chief Sustainability Officers,Teleconferencing software,N,N
69,11-1011.03,Chief Sustainability Officers,Web browser software,N,N
70,11-1021.00,General and Operations Managers,Act!,N,N
71,11-1021.00,General and Operations Managers,ActionWare,N,N
72,11-1021.00,General and Operations Managers,Adobe Acrobat,Y,N
73,11-1021.00,General and Operations Managers,Adobe Creative Cloud software,Y,N
74,11-1021.00,General and Operations Managers,Adobe Photoshop,Y,N
75,11-1021.00,General and Operations Managers,ADP Workforce Now,N,N
76,11-1021.00,General and Operations Managers,Airtable,N,N
77,11-1021.00,General and Operations Managers,Amazon Web Services AWS software,Y,N
78,11-1021.00,General and Operations Managers,AMG Teleran SalesInSync,N,N
79,11-1021.00,General and Operations Managers,Apache Hadoop,Y,N
80,11-1021.00,General and Operations Managers,Apple Final Cut Pro,N,N
81,11-1021.00,General and Operations Managers,Apple Keynote,N,N
82,11-1021.00,General and Operations Managers,Apple macOS,Y,N
83,11-1021.00,General and Operations Managers,Atlassian Confluence,Y,N
84,11-1021.00,General and Operations Managers,Atlassian JIRA,Y,N
85,11-1021.00,General and Operations Managers,Autodesk AutoCAD,Y,N
86,11-1021.00,General and Operations Managers,Avidian Technologies Prophet,N,N
87,11-1021.00,General and Operations Managers,Blackbaud The Raiser's Edge,N,N
88,11-1021.00,General and Operations Managers,Blackboard software,N,N
89,11-1021.00,General and Operations Managers,Calendar and scheduling software,N,N
90,11-1021.00,General and Operations Managers,Citrix cloud computing software,N,N
91,11-1021.00,General and Operations Managers,CNC Mastercam,N,N
92,11-1021.00,General and Operations Managers,Computer aided manufacturing CAM software,N,N
93,11-1021.00,General and Operations Managers,Customer information control system CICS,N,N
94,11-1021.00,General and Operations Managers,Database software,N,N
95,11-1021.00,General and Operations Managers,Datawatch Monarch,N,N
96,11-1021.00,General and Operations Managers,Deacom ERP,N,N
97,11-1021.00,General and Operations Managers,Delphi Technology,N,N
98,11-1021.00,General and Operations Managers,Dropbox,N,N
99,11-1021.00,General and Operations Managers,Dynamic Energy Systems MedAct,N,N
100,11-1021.00,General and Operations Managers,Eko,N,N
101,11-1021.00,General and Operations Managers,Evernote,N,N
102,11-1021.00,General and Operations Managers,Extensible markup language XML,Y,N
103,11-1021.00,General and Operations Managers,Facebook,Y,N
104,11-1021.00,General and Operations Managers,FileMaker Pro,N,N
105,11-1021.00,General and Operations Managers,Flipgrid,N,N
106,11-1021.00,General and Operations Managers,Fund accounting software,N,N
107,11-1021.00,General and Operations Managers,Geographic information system GIS software,N,N
108,11-1021.00,General and Operations Managers,Google Ads,N,N
109,11-1021.00,General and Operations Managers,Google Analytics,Y,N
110,11-1021.00,General and Operations Managers,Google Docs,Y,N
111,11-1021.00,General and Operations Managers,Google Drive,N,N
112,11-1021.00,General and Operations Managers,Google Slides,N,N
113,11-1021.00,General and Operations Managers,GroupMe,N,N
114,11-1021.00,General and Operations Managers,HEAT Software GoldMine,N,N
115,11-1021.00,General and Operations Managers,HubSpot software,Y,N
116,11-1021.00,General and Operations Managers,Human resource management software HRMS,N,N
117,11-1021.00,General and Operations Managers,Human resources software,N,N
118,11-1021.00,General and Operations Managers,IBM Cognos Impromptu,N,N
119,11-1021.00,General and Operations Managers,IBM Domino,N,N
120,11-1021.00,General and Operations Managers,IBM InfoSphere DataStage,N,N
121,11-1021.00,General and Operations Managers,IBM Notes,N,N
122,11-1021.00,General and Operations Managers,IBM Power Systems software,N,N
123,11-1021.00,General and Operations Managers,IBM SPSS Statistics,Y,N
124,11-1021.00,General and Operations Managers,InnQuest Software roomMaster,N,N
125,11-1021.00,General and Operations Managers,Intuit QuickBooks,Y,N
126,11-1021.00,General and Operations Managers,Inventory management software,N,N
127,11-1021.00,General and Operations Managers,Job control language JCL,N,N
128,11-1021.00,General and Operations Managers,Kronos Workforce Payroll,N,N
129,11-1021.00,General and Operations Managers,Kronos Workforce Timekeeper,Y,N
130,11-1021.00,General and Operations Managers,LexisNexis,N,N
131,11-1021.00,General and Operations Managers,LinkedIn,N,N
132,11-1021.00,General and Operations Managers,LSA Visual Easy Lean,N,N
133,11-1021.00,General and Operations Managers,Marketo Marketing Automation,Y,N
134,11-1021.00,General and Operations Managers,Maximizer Software Maximizer Enterprise,N,N
135,11-1021.00,General and Operations Managers,McAfee,N,N
136,11-1021.00,General and Operations Managers,Medical condition coding software,N,N
137,11-1021.00,General and Operations Managers,Microsoft Access,Y,N
138,11-1021.00,General and Operations Managers,Microsoft Dynamics,N,N
139,11-1021.00,General and Operations Managers,Microsoft Dynamics GP,N,N
140,11-1021.00,General and Operations Managers,Microsoft Excel,Y,Y
141,11-1021.00,General and Operations Managers,Microsoft Exchange,N,N
142,11-1021.00,General and Operations Managers,Microsoft FrontPage,N,N
143,11-1021.00,General and Operations Managers,Microsoft Internet Explorer,N,N
144,11-1021.00,General and Operations Managers,Microsoft Office software,Y,Y
145,11-1021.00,General and Operations Managers,Microsoft OneNote,N,N
146,11-1021.00,General and Operations Managers,Microsoft Outlook,Y,N
147,11-1021.00,General and Operations Managers,Microsoft PowerPoint,Y,Y
148,11-1021.00,General and Operations Managers,Microsoft Project,Y,N
149,11-1021.00,General and Operations Managers,Microsoft Publisher,N,N
150,11-1021.00,General and Operations Managers,Microsoft SharePoint,Y,N
151,11-1021.00,General and Operations Managers,Microsoft SQL Server,Y,N
152,11-1021.00,General and Operations Managers,Microsoft Visio,Y,N
153,11-1021.00,General and Operations Managers,Microsoft Visual Basic,Y,N
154,11-1021.00,General and Operations Managers,Microsoft Visual Basic for Applications VBA,Y,N
155,11-1021.00,General and Operations Managers,Microsoft Windows,Y,N
156,11-1021.00,General and Operations Managers,Microsoft Word,Y,N
157,11-1021.00,General and Operations Managers,MicroStrategy,N,N
158,11-1021.00,General and Operations Managers,Minitab,N,N
159,11-1021.00,General and Operations Managers,Mozilla Firefox,Y,N
160,11-1021.00,General and Operations Managers,Mozilla Thunderbird,N,N
161,11-1021.00,General and Operations Managers,Nagios,N,N
162,11-1021.00,General and Operations Managers,NetSuite ERP,N,N
163,11-1021.00,General and Operations Managers,NetSuite NetCRM,N,N
164,11-1021.00,General and Operations Managers,NortonLifeLock cybersecurity software,N,N
165,11-1021.00,General and Operations Managers,Oracle Business Intelligence Enterprise Edition,N,N
166,11-1021.00,General and Operations Managers,Oracle Database,Y,N
167,11-1021.00,General and Operations Managers,Oracle E-Business Suite Financials,N,N
168,11-1021.00,General and Operations Managers,Oracle Eloqua,N,N
169,11-1021.00,General and Operations Managers,Oracle Fusion Applications,N,N
170,11-1021.00,General and Operations Managers,Oracle Hyperion,N,N
171,11-1021.00,General and Operations Managers,Oracle JD Edwards EnterpriseOne,N,N
172,11-1021.00,General and Operations Managers,Oracle PeopleSoft,Y,N
173,11-1021.00,General and Operations Managers,Oracle PeopleSoft Financials,N,N
174,11-1021.00,General and Operations Managers,Oracle Primavera Enterprise Project Portfolio Management,Y,N
175,11-1021.00,General and Operations Managers,Oracle Solaris,N,N
176,11-1021.00,General and Operations Managers,Oracle Taleo,N,N
177,11-1021.00,General and Operations Managers,Payroll software,N,N
178,11-1021.00,General and Operations Managers,Personnel scheduling software,N,N
179,11-1021.00,General and Operations Managers,Point of sale POS software,N,N
180,11-1021.00,General and Operations Managers,PostgreSQL,Y,N
181,11-1021.00,General and Operations Managers,Puppet,Y,N
182,11-1021.00,General and Operations Managers,Qlik Tech QlikView,N,N
183,11-1021.00,General and Operations Managers,Quest Erwin Data Modeler,N,N
184,11-1021.00,General and Operations Managers,R,Y,N
185,11-1021.00,General and Operations Managers,Realization Streamliner,N,N
186,11-1021.00,General and Operations Managers,Sage 50 Accounting,N,N
187,11-1021.00,General and Operations Managers,Sage MAS 500,N,N
188,11-1021.00,General and Operations Managers,Salesforce software,Y,N
189,11-1021.00,General and Operations Managers,Salesforce.com Salesforce CRM,N,N
190,11-1021.00,General and Operations Managers,SAP Business Objects,N,N
191,11-1021.00,General and Operations Managers,SAP Crystal Reports,N,N
192,11-1021.00,General and Operations Managers,SAP software,Y,N
193,11-1021.00,General and Operations Managers,SAS,Y,N
194,11-1021.00,General and Operations Managers,Savant MobileRanger,N,N
195,11-1021.00,General and Operations Managers,Screencastify,N,N
196,11-1021.00,General and Operations Managers,SeaMonkey,N,N
197,11-1021.00,General and Operations Managers,Shell script,Y,N
198,11-1021.00,General and Operations Managers,Siemens NX,N,N
199,11-1021.00,General and Operations Managers,Slack,Y,N
200,11-1021.00,General and Operations Managers,Social media sites,N,N
201,11-1021.00,General and Operations Managers,Software on Sailboats Desktop Sales Manager,N,N
202,11-1021.00,General and Operations Managers,Splunk Enterprise,Y,N
203,11-1021.00,General and Operations Managers,StataCorp Stata,N,N
204,11-1021.00,General and Operations Managers,Structured query language SQL,Y,N
205,11-1021.00,General and Operations Managers,Sugar CRM,N,N
206,11-1021.00,General and Operations Managers,Supervisory control and data acquisition SCADA software,N,N
207,11-1021.00,General and Operations Managers,Tableau,Y,N
208,11-1021.00,General and Operations Managers,Tax software,N,N
209,11-1021.00,General and Operations Managers,Teradata Database,Y,N
210,11-1021.00,General and Operations Managers,The MathWorks MATLAB,Y,N
211,11-1021.00,General and Operations Managers,Vanguard Software Vanguard Sales Manager,N,N
212,11-1021.00,General and Operations Managers,Veritas NetBackup,N,N
213,11-1021.00,General and Operations Managers,vtiger CRM,N,N
214,11-1021.00,General and Operations Managers,Yardi software,Y,N
215,11-1021.00,General and Operations Managers,YouTube,N,N
216,11-1031.00,Legislators,Adobe Acrobat,Y,N
217,11-1031.00,Legislators,Adobe FrameMaker,N,N
218,11-1031.00,Legislators,Antenna House,N,N
219,11-1031.00,Legislators,Apple iWork Keynote,N,N
220,11-1031.00,Legislators,Apple iWork Pages,N,N
221,11-1031.00,Legislators,Apple Numbers for Mac,N,N
222,11-1031.00,Legislators,Cisco AnyConnect,N,N
223,11-1031.00,Legislators,Cisco Webex,Y,N
224,11-1031.00,Legislators,Corel WordPerfect Office Suite,N,N
225,11-1031.00,Legislators,GoodReader,N,N
226,11-1031.00,Legislators,iAnnotate,N,N
227,11-1031.00,Legislators,IBM Domino,N,N
228,11-1031.00,Legislators,Legislative Automative Workflow System LAWS,N,N
229,11-1031.00,Legislators,LogMeIn GoToMeeting,N,N
230,11-1031.00,Legislators,Mapping software,N,N
231,11-1031.00,Legislators,Meeting scheduling software,N,N
232,11-1031.00,Legislators,Microsoft Access,Y,N
233,11-1031.00,Legislators,Microsoft Excel,Y,N
234,11-1031.00,Legislators,Microsoft Exchange,N,N
235,11-1031.00,Legislators,Microsoft Office software,Y,N
236,11-1031.00,Legislators,Microsoft Outlook,Y,N
237,11-1031.00,Legislators,Microsoft SharePoint,Y,N
238,11-1031.00,Legislators,Microsoft SQL Server,Y,N
239,11-1031.00,Legislators,Microsoft Visual Basic,Y,N
240,11-1031.00,Legislators,Microsoft Word,Y,N
241,11-1031.00,Legislators,Penultimate,N,N
242,11-1031.00,Legislators,PTC Arbortext,N,N
243,11-1031.00,Legislators,Rocket/Folio NXT,N,N
244,11-1031.00,Legislators,Structured query language SQL,Y,N
245,11-1031.00,Legislators,Web browser software,N,N
246,11-1031.00,Legislators,Windows Media Player,N,N
247,11-1031.00,Legislators,XMetaL Author,N,N
248,11-2011.00,Advertising and Promotions Managers,Actuate BIRT,N,N
249,11-2011.00,Advertising and Promotions Managers,Adobe Acrobat,Y,N
250,11-2011.00,Advertising and Promotions Managers,Adobe Acrobat Reader,N,N
251,11-2011.00,Advertising and Promotions Managers,Adobe After Effects,Y,N
252,11-2011.00,Advertising and Promotions Managers,Adobe Creative Cloud software,Y,N
253,11-2011.00,Advertising and Promotions Managers,Adobe Dreamweaver,N,N
254,11-2011.00,Advertising and Promotions Managers,Adobe Experience Manager (AEM),N,N
255,11-2011.00,Advertising and Promotions Managers,Adobe Illustrator,Y,N
256,11-2011.00,Advertising and Promotions Managers,Adobe InDesign,Y,N
257,11-2011.00,Advertising and Promotions Managers,Adobe PageMaker,N,N
258,11-2011.00,Advertising and Promotions Managers,Adobe Photoshop,Y,N
259,11-2011.00,Advertising and Promotions Managers,Adobe Premiere Pro,N,N
260,11-2011.00,Advertising and Promotions Managers,AdRelevance,N,N
261,11-2011.00,Advertising and Promotions Managers,Apple Final Cut Pro,N,N
262,11-2011.00,Advertising and Promotions Managers,Apple iMovie,N,N
263,11-2011.00,Advertising and Promotions Managers,Avid Media Composer,N,N
264,11-2011.00,Advertising and Promotions Managers,Brainworks,N,N
265,11-2011.00,Advertising and Promotions Managers,Business analysis software,N,N
266,11-2011.00,Advertising and Promotions Managers,Constant Contact,N,N
267,11-2011.00,Advertising and Promotions Managers,Customer relationship management CRM software,N,N
268,11-2011.00,Advertising and Promotions Managers,Data visualization software,N,N
269,11-2011.00,Advertising and Promotions Managers,Data warehousing software,N,N
270,11-2011.00,Advertising and Promotions Managers,Database software,N,N
271,11-2011.00,Advertising and Promotions Managers,Drupal,N,N
272,11-2011.00,Advertising and Promotions Managers,Email software,N,N
273,11-2011.00,Advertising and Promotions Managers,Experience in Software Webplanner,N,N
274,11-2011.00,Advertising and Promotions Managers,Extensible markup language XML,Y,N
275,11-2011.00,Advertising and Promotions Managers,Facebook,Y,N
276,11-2011.00,Advertising and Promotions Managers,Google Ads,N,N
277,11-2011.00,Advertising and Promotions Managers,Google Analytics,Y,Y
278,11-2011.00,Advertising and Promotions Managers,Google DoubleClick,N,N
279,11-2011.00,Advertising and Promotions Managers,Hootsuite,N,N
280,11-2011.00,Advertising and Promotions Managers,HubSpot software,Y,N
281,11-2011.00,Advertising and Promotions Managers,Hypertext markup language HTML,Y,N
282,11-2011.00,Advertising and Promotions Managers,IBM Lotus Notes,N,N
283,11-2011.00,Advertising and Promotions Managers,Instagram,N,N
284,11-2011.00,Advertising and Promotions Managers,Inventory tracking software,N,N
285,11-2011.00,Advertising and Promotions Managers,JavaScript,Y,N
286,11-2011.00,Advertising and Promotions Managers,LinkedIn,N,N
287,11-2011.00,Advertising and Promotions Managers,MailChimp,N,N
288,11-2011.00,Advertising and Promotions Managers,Marketo Marketing Automation,Y,N
289,11-2011.00,Advertising and Promotions Managers,MarketSharp,N,N
290,11-2011.00,Advertising and Promotions Managers,Microsoft Access,Y,N
291,11-2011.00,Advertising and Promotions Managers,Microsoft Dynamics,N,N
292,11-2011.00,Advertising and Promotions Managers,Microsoft Dynamics Marketing,N,N
293,11-2011.00,Advertising and Promotions Managers,Microsoft Excel,Y,Y
294,11-2011.00,Advertising and Promotions Managers,Microsoft Office software,Y,Y
295,11-2011.00,Advertising and Promotions Managers,Microsoft Outlook,Y,Y
296,11-2011.00,Advertising and Promotions Managers,Microsoft PowerPoint,Y,Y
297,11-2011.00,Advertising and Promotions Managers,Microsoft Project,Y,N
298,11-2011.00,Advertising and Promotions Managers,Microsoft Publisher,N,N
299,11-2011.00,Advertising and Promotions Managers,Microsoft SharePoint,Y,N
300,11-2011.00,Advertising and Promotions Managers,Microsoft SQL Server,Y,N
301,11-2011.00,Advertising and Promotions Managers,Microsoft Windows,Y,N
302,11-2011.00,Advertising and Promotions Managers,Microsoft Word,Y,N
303,11-2011.00,Advertising and Promotions Managers,Oracle Eloqua,N,N
304,11-2011.00,Advertising and Promotions Managers,PaloAlto Advertising Plan Pro,N,N
305,11-2011.00,Advertising and Promotions Managers,Pinterest,N,N
306,11-2011.00,Advertising and Promotions Managers,Quark enterprise publishing software,N,N
307,11-2011.00,Advertising and Promotions Managers,Relex Weibull,N,N
308,11-2011.00,Advertising and Promotions Managers,Salesforce software,Y,Y
309,11-2011.00,Advertising and Promotions Managers,SAP software,Y,N
310,11-2011.00,Advertising and Promotions Managers,Scheduling software,N,N
311,11-2011.00,Advertising and Promotions Managers,Social media software,N,N
312,11-2011.00,Advertising and Promotions Managers,Structure query language SQL,N,N
313,11-2011.00,Advertising and Promotions Managers,Tableau,Y,N
314,11-2011.00,Advertising and Promotions Managers,Twitter,N,N
315,11-2011.00,Advertising and Promotions Managers,Vimeo,N,N
316,11-2011.00,Advertising and Promotions Managers,Web browser software,N,N
317,11-2011.00,Advertising and Promotions Managers,WebTrends Analytics,N,N
318,11-2011.00,Advertising and Promotions Managers,Webtrends software,N,N
319,11-2011.00,Advertising and Promotions Managers,WordPress,Y,N
320,11-2011.00,Advertising and Promotions Managers,YouTube,N,N
321,11-2021.00,Marketing Managers,Adobe Acrobat,Y,N
322,11-2021.00,Marketing Managers,Adobe Acrobat Reader,N,N
323,11-2021.00,Marketing Managers,Adobe ActionScript,N,N
324,11-2021.00,Marketing Managers,Adobe After Effects,Y,N
325,11-2021.00,Marketing Managers,Adobe Creative Cloud software,Y,N
326,11-2021.00,Marketing Managers,Adobe Dreamweaver,N,N
327,11-2021.00,Marketing Managers,Adobe Illustrator,Y,N
328,11-2021.00,Marketing Managers,Adobe InDesign,Y,N
329,11-2021.00,Marketing Managers,Adobe Photoshop,Y,N
330,11-2021.00,Marketing Managers,AdSense Tracker,N,N
331,11-2021.00,Marketing Managers,AEC Software FastTrack Schedule,N,N
332,11-2021.00,Marketing Managers,Airtable,N,N
333,11-2021.00,Marketing Managers,Amazon Redshift,Y,N
334,11-2021.00,Marketing Managers,Amazon Web Services AWS software,Y,N
335,11-2021.00,Marketing Managers,Apache Cassandra,Y,N
336,11-2021.00,Marketing Managers,Apache Hadoop,Y,N
337,11-2021.00,Marketing Managers,Apache Hive,Y,N
338,11-2021.00,Marketing Managers,Apache Pig,N,N
339,11-2021.00,Marketing Managers,Apache Solr,N,N
340,11-2021.00,Marketing Managers,Apple Final Cut Pro,N,N
341,11-2021.00,Marketing Managers,Apple Keynote,N,N
342,11-2021.00,Marketing Managers,Apple macOS,Y,N
343,11-2021.00,Marketing Managers,Armand Morin MultiTrack Generator,N,N
344,11-2021.00,Marketing Managers,Asana,Y,N
345,11-2021.00,Marketing Managers,Atlassian Confluence,Y,N
346,11-2021.00,Marketing Managers,Atlassian JIRA,Y,Y
347,11-2021.00,Marketing Managers,Blackbaud The Raiser's Edge,N,N
348,11-2021.00,Marketing Managers,C,Y,N
349,11-2021.00,Marketing Managers,Canva,Y,N
350,11-2021.00,Marketing Managers,Cascading style sheets CSS,Y,N
351,11-2021.00,Marketing Managers,Citrix cloud computing software,N,N
352,11-2021.00,Marketing Managers,ClearEDGE,N,N
353,11-2021.00,Marketing Managers,Constant Contact,N,N
354,11-2021.00,Marketing Managers,Database reporting software,N,N
355,11-2021.00,Marketing Managers,Database software,N,N
356,11-2021.00,Marketing Managers,Databox,N,N
357,11-2021.00,Marketing Managers,Delphi Technology,N,N
358,11-2021.00,Marketing Managers,Dropbox,N,N
359,11-2021.00,Marketing Managers,Drupal,N,N
360,11-2021.00,Marketing Managers,Dynamic hypertext markup language DHTML,N,N
361,11-2021.00,Marketing Managers,Eko,N,N
362,11-2021.00,Marketing Managers,Elasticsearch,Y,N
363,11-2021.00,Marketing Managers,Evernote,N,N
364,11-2021.00,Marketing Managers,Extensible hypertext markup language XHTML,N,N
365,11-2021.00,Marketing Managers,Extensible markup language XML,Y,N
366,11-2021.00,Marketing Managers,Facebook,Y,N
367,11-2021.00,Marketing Managers,Figma,Y,N
368,11-2021.00,Marketing Managers,FileMaker Pro,N,N
369,11-2021.00,Marketing Managers,Flipgrid,N,N
370,11-2021.00,Marketing Managers,Fund accounting software,N,N
371,11-2021.00,Marketing Managers,GitHub,Y,N
372,11-2021.00,Marketing Managers,Google Ads,N,N
373,11-2021.00,Marketing Managers,Google Analytics,Y,N
374,11-2021.00,Marketing Managers,Google Docs,Y,N
375,11-2021.00,Marketing Managers,Google Drive,N,N
376,11-2021.00,Marketing Managers,Google Meet,N,N
377,11-2021.00,Marketing Managers,Google Slides,N,N
378,11-2021.00,Marketing Managers,HubSpot software,Y,N
379,11-2021.00,Marketing Managers,Hypertext markup language HTML,Y,N
380,11-2021.00,Marketing Managers,IBM Cognos Impromptu,N,N
381,11-2021.00,Marketing Managers,IBM Domino,N,N
382,11-2021.00,Marketing Managers,IBM InfoSphere DataStage,N,N
383,11-2021.00,Marketing Managers,IBM Notes,N,N
384,11-2021.00,Marketing Managers,IBM Power Systems software,N,N
385,11-2021.00,Marketing Managers,IBM SPSS Statistics,Y,N
386,11-2021.00,Marketing Managers,Instagram,N,N
387,11-2021.00,Marketing Managers,Intuit QuickBooks,Y,N
388,11-2021.00,Marketing Managers,JamBoard,N,N
389,11-2021.00,Marketing Managers,JavaScript,Y,N
390,11-2021.00,Marketing Managers,Jupyter Notebook,N,N
391,11-2021.00,Marketing Managers,Kapwing,N,N
392,11-2021.00,Marketing Managers,LAMP Stack,N,N
393,11-2021.00,Marketing Managers,LexisNexis,N,N
394,11-2021.00,Marketing Managers,LinkedIn,N,N
395,11-2021.00,Marketing Managers,LogMeIn GoToMeeting,N,N
396,11-2021.00,Marketing Managers,LogMeIn GoToWebinar,N,N
397,11-2021.00,Marketing Managers,Lyris HQ Web-Analytics Solution,N,N
398,11-2021.00,Marketing Managers,Marketo Marketing Automation,Y,N
399,11-2021.00,Marketing Managers,MarketSharp,N,N
400,11-2021.00,Marketing Managers,McAfee,N,N
401,11-2021.00,Marketing Managers,Mentimeter,N,N
402,11-2021.00,Marketing Managers,Microsoft Access,Y,N
403,11-2021.00,Marketing Managers,Microsoft Azure software,Y,N
404,11-2021.00,Marketing Managers,Microsoft Dynamics,N,N
405,11-2021.00,Marketing Managers,Microsoft Excel,Y,Y
406,11-2021.00,Marketing Managers,Microsoft Office software,Y,Y
407,11-2021.00,Marketing Managers,Microsoft Outlook,Y,N
408,11-2021.00,Marketing Managers,Microsoft PowerPoint,Y,Y
409,11-2021.00,Marketing Managers,Microsoft Project,Y,N
410,11-2021.00,Marketing Managers,Microsoft Publisher,N,N
411,11-2021.00,Marketing Managers,Microsoft SharePoint,Y,N
412,11-2021.00,Marketing Managers,Microsoft SQL Server,Y,N
413,11-2021.00,Marketing Managers,Microsoft Teams,Y,N
414,11-2021.00,Marketing Managers,Microsoft Visio,Y,N
415,11-2021.00,Marketing Managers,Microsoft Visual Basic,Y,N
416,11-2021.00,Marketing Managers,Microsoft Visual Basic for Applications VBA,Y,N
417,11-2021.00,Marketing Managers,Microsoft Visual Basic Scripting Edition VBScript,N,N
418,11-2021.00,Marketing Managers,Microsoft Word,Y,N
419,11-2021.00,Marketing Managers,MicroStrategy,N,N
420,11-2021.00,Marketing Managers,Minitab,N,N
421,11-2021.00,Marketing Managers,MySQL,Y,N
422,11-2021.00,Marketing Managers,Nearpod,N,N
423,11-2021.00,Marketing Managers,Nedstat Sitestat,N,N
424,11-2021.00,Marketing Managers,NetSuite ERP,N,N
425,11-2021.00,Marketing Managers,NortonLifeLock cybersecurity software,N,N
426,11-2021.00,Marketing Managers,NoSQL,Y,N
427,11-2021.00,Marketing Managers,Online advertising reporting software,N,N
428,11-2021.00,Marketing Managers,Oracle Beehive,N,N
429,11-2021.00,Marketing Managers,Oracle Business Intelligence Enterprise Edition,N,N
430,11-2021.00,Marketing Managers,Oracle Database,Y,N
431,11-2021.00,Marketing Managers,Oracle E-Business Suite Financials,N,N
432,11-2021.00,Marketing Managers,Oracle Eloqua,N,N
433,11-2021.00,Marketing Managers,Oracle Fusion Applications,N,N
434,11-2021.00,Marketing Managers,Oracle Hyperion,N,N
435,11-2021.00,Marketing Managers,Oracle JavaServer Pages JSP,N,N
436,11-2021.00,Marketing Managers,Oracle PeopleSoft,Y,N
