,O*NET-SOC Code,Title,Element Name,Data Value
558,11-3013.00,Facilities Managers,Chemistry,2.77
532,11-3013.00,Facilities Managers,Economics and Accounting,2.9
592,11-3013.00,Facilities Managers,Transportation,2.99
546,11-3013.00,Facilities Managers,Engineering and Technology,3.05
554,11-3013.00,Facilities Managers,Mathematics,3.11
544,11-3013.00,Facilities Managers,Computers and Electronics,3.25
572,11-3013.00,Facilities Managers,Education and Training,3.27
562,11-3013.00,Facilities Managers,Psychology,3.29
530,11-3013.00,Facilities Managers,Administrative,3.31
550,11-3013.00,Facilities Managers,Building and Construction,3.32
552,11-3013.00,Facilities Managers,Mechanical,3.36
538,11-3013.00,Facilities Managers,Personnel and Human Resources,3.41
584,11-3013.00,Facilities Managers,Public Safety and Security,3.47
574,11-3013.00,Facilities Managers,English Language,3.77
528,11-3013.00,Facilities Managers,Administration and Management,4.21
536,11-3013.00,Facilities Managers,Customer and Personal Service,4.37
644,11-3013.01,Security Managers,Fine Arts,1.33
608,11-3013.01,Security Managers,Food Production,1.35
626,11-3013.01,Security Managers,Biology,1.58
624,11-3013.01,Security Managers,Chemistry,1.65
646,11-3013.01,Security Managers,History and Archeology,1.65
634,11-3013.01,Security Managers,Medicine and Dentistry,1.85
622,11-3013.01,Security Managers,Physics,1.9
642,11-3013.01,Security Managers,Foreign Language,2.0
648,11-3013.01,Security Managers,Philosophy and Theology,2.05
600,11-3013.01,Security Managers,Sales and Marketing,2.15
618,11-3013.01,Security Managers,Mechanical,2.21
606,11-3013.01,Security Managers,Production and Processing,2.35
632,11-3013.01,Security Managers,Geography,2.42
620,11-3013.01,Security Managers,Mathematics,2.45
630,11-3013.01,Security Managers,Sociology and Anthropology,2.45
636,11-3013.01,Security Managers,Therapy and Counseling,2.45
658,11-3013.01,Security Managers,Transportation,2.5
614,11-3013.01,Security Managers,Design,2.55
612,11-3013.01,Security Managers,Engineering and Technology,2.58
598,11-3013.01,Security Managers,Economics and Accounting,2.63
616,11-3013.01,Security Managers,Building and Construction,2.68
596,11-3013.01,Security Managers,Administrative,2.8
656,11-3013.01,Security Managers,Communications and Media,3.15
628,11-3013.01,Security Managers,Psychology,3.45
654,11-3013.01,Security Managers,Telecommunications,3.45
610,11-3013.01,Security Managers,Computers and Electronics,3.47
638,11-3013.01,Security Managers,Education and Training,3.65
604,11-3013.01,Security Managers,Personnel and Human Resources,3.75
602,11-3013.01,Security Managers,Customer and Personal Service,4.1
594,11-3013.01,Security Managers,Administration and Management,4.16
652,11-3013.01,Security Managers,Law and Government,4.21
640,11-3013.01,Security Managers,English Language,4.32
650,11-3013.01,Security Managers,Public Safety and Security,4.9
674,11-3021.00,Computer and Information Systems Managers,Food Production,1.0
692,11-3021.00,Computer and Information Systems Managers,Biology,1.01
700,11-3021.00,Computer and Information Systems Managers,Medicine and Dentistry,1.02
712,11-3021.00,Computer and Information Systems Managers,History and Archeology,1.03
724,11-3021.00,Computer and Information Systems Managers,Transportation,1.18
690,11-3021.00,Computer and Information Systems Managers,Chemistry,1.23
714,11-3021.00,Computer and Information Systems Managers,Philosophy and Theology,1.23
682,11-3021.00,Computer and Information Systems Managers,Building and Construction,1.24
708,11-3021.00,Computer and Information Systems Managers,Foreign Language,1.28
684,11-3021.00,Computer and Information Systems Managers,Mechanical,1.38
710,11-3021.00,Computer and Information Systems Managers,Fine Arts,1.42
702,11-3021.00,Computer and Information Systems Managers,Therapy and Counseling,1.44
688,11-3021.00,Computer and Information Systems Managers,Physics,1.61
672,11-3021.00,Computer and Information Systems Managers,Production and Processing,1.78
696,11-3021.00,Computer and Information Systems Managers,Sociology and Anthropology,1.9
666,11-3021.00,Computer and Information Systems Managers,Sales and Marketing,1.92
716,11-3021.00,Computer and Information Systems Managers,Public Safety and Security,1.94
718,11-3021.00,Computer and Information Systems Managers,Law and Government,2.12
664,11-3021.00,Computer and Information Systems Managers,Economics and Accounting,2.15
722,11-3021.00,Computer and Information Systems Managers,Communications and Media,2.16
694,11-3021.00,Computer and Information Systems Managers,Psychology,2.22
698,11-3021.00,Computer and Information Systems Managers,Geography,2.24
662,11-3021.00,Computer and Information Systems Managers,Administrative,2.48
680,11-3021.00,Computer and Information Systems Managers,Design,2.61
720,11-3021.00,Computer and Information Systems Managers,Telecommunications,2.63
704,11-3021.00,Computer and Information Systems Managers,Education and Training,3.05
686,11-3021.00,Computer and Information Systems Managers,Mathematics,3.16
670,11-3021.00,Computer and Information Systems Managers,Personnel and Human Resources,3.42
706,11-3021.00,Computer and Information Systems Managers,English Language,3.48
678,11-3021.00,Computer and Information Systems Managers,Engineering and Technology,3.5
660,11-3021.00,Computer and Information Systems Managers,Administration and Management,3.7
668,11-3021.00,Computer and Information Systems Managers,Customer and Personal Service,4.05
676,11-3021.00,Computer and Information Systems Managers,Computers and Electronics,4.77
754,11-3031.00,Financial Managers,Physics,1.0
756,11-3031.00,Financial Managers,Chemistry,1.0
758,11-3031.00,Financial Managers,Biology,1.0
766,11-3031.00,Financial Managers,Medicine and Dentistry,1.01
776,11-3031.00,Financial Managers,Fine Arts,1.02
740,11-3031.00,Financial Managers,Food Production,1.08
778,11-3031.00,Financial Managers,History and Archeology,1.2
744,11-3031.00,Financial Managers,Engineering and Technology,1.29
748,11-3031.00,Financial Managers,Building and Construction,1.29
746,11-3031.00,Financial Managers,Design,1.33
768,11-3031.00,Financial Managers,Therapy and Counseling,1.34
790,11-3031.00,Financial Managers,Transportation,1.35
750,11-3031.00,Financial Managers,Mechanical,1.36
764,11-3031.00,Financial Managers,Geography,1.56
780,11-3031.00,Financial Managers,Philosophy and Theology,1.59
762,11-3031.00,Financial Managers,Sociology and Anthropology,1.64
774,11-3031.00,Financial Managers,Foreign Language,1.69
786,11-3031.00,Financial Managers,Telecommunications,1.73
738,11-3031.00,Financial Managers,Production and Processing,1.89
782,11-3031.00,Financial Managers,Public Safety and Security,2.19
760,11-3031.00,Financial Managers,Psychology,2.25
788,11-3031.00,Financial Managers,Communications and Media,2.74
742,11-3031.00,Financial Managers,Computers and Electronics,3.25
770,11-3031.00,Financial Managers,Education and Training,3.29
772,11-3031.00,Financial Managers,English Language,3.32
732,11-3031.00,Financial Managers,Sales and Marketing,3.35
736,11-3031.00,Financial Managers,Personnel and Human Resources,3.5
784,11-3031.00,Financial Managers,Law and Government,3.6
728,11-3031.00,Financial Managers,Administrative,3.7
752,11-3031.00,Financial Managers,Mathematics,3.73
730,11-3031.00,Financial Managers,Economics and Accounting,4.07
726,11-3031.00,Financial Managers,Administration and Management,4.33
734,11-3031.00,Financial Managers,Customer and Personal Service,4.66
822,11-3031.01,Treasurers and Controllers,Chemistry,1.0
824,11-3031.01,Treasurers and Controllers,Biology,1.0
814,11-3031.01,Treasurers and Controllers,Building and Construction,1.04
820,11-3031.01,Treasurers and Controllers,Physics,1.04
842,11-3031.01,Treasurers and Controllers,Fine Arts,1.04
806,11-3031.01,Treasurers and Controllers,Food Production,1.08
816,11-3031.01,Treasurers and Controllers,Mechanical,1.08
832,11-3031.01,Treasurers and Controllers,Medicine and Dentistry,1.12
834,11-3031.01,Treasurers and Controllers,Therapy and Counseling,1.2
844,11-3031.01,Treasurers and Controllers,History and Archeology,1.2
812,11-3031.01,Treasurers and Controllers,Design,1.24
856,11-3031.01,Treasurers and Controllers,Transportation,1.28
840,11-3031.01,Treasurers and Controllers,Foreign Language,1.4
846,11-3031.01,Treasurers and Controllers,Philosophy and Theology,1.4
810,11-3031.01,Treasurers and Controllers,Engineering and Technology,1.44
830,11-3031.01,Treasurers and Controllers,Geography,1.44
852,11-3031.01,Treasurers and Controllers,Telecommunications,1.44
828,11-3031.01,Treasurers and Controllers,Sociology and Anthropology,1.58
804,11-3031.01,Treasurers and Controllers,Production and Processing,1.76
848,11-3031.01,Treasurers and Controllers,Public Safety and Security,1.8
826,11-3031.01,Treasurers and Controllers,Psychology,1.92
798,11-3031.01,Treasurers and Controllers,Sales and Marketing,1.96
854,11-3031.01,Treasurers and Controllers,Communications and Media,2.0
794,11-3031.01,Treasurers and Controllers,Administrative,2.48
836,11-3031.01,Treasurers and Controllers,Education and Training,2.56
808,11-3031.01,Treasurers and Controllers,Computers and Electronics,2.8
800,11-3031.01,Treasurers and Controllers,Customer and Personal Service,2.84
850,11-3031.01,Treasurers and Controllers,Law and Government,2.84
802,11-3031.01,Treasurers and Controllers,Personnel and Human Resources,3.12
818,11-3031.01,Treasurers and Controllers,Mathematics,3.92
792,11-3031.01,Treasurers and Controllers,Administration and Management,4.04
838,11-3031.01,Treasurers and Controllers,English Language,4.2
796,11-3031.01,Treasurers and Controllers,Economics and Accounting,4.6
880,11-3031.03,Investment Fund Managers,Building and Construction,1.0
872,11-3031.03,Investment Fund Managers,Food Production,1.03
882,11-3031.03,Investment Fund Managers,Mechanical,1.09
888,11-3031.03,Investment Fund Managers,Chemistry,1.1
908,11-3031.03,Investment Fund Managers,Fine Arts,1.13
878,11-3031.03,Investment Fund Managers,Design,1.18
890,11-3031.03,Investment Fund Managers,Biology,1.18
906,11-3031.03,Investment Fund Managers,Foreign Language,1.23
912,11-3031.03,Investment Fund Managers,Philosophy and Theology,1.23
886,11-3031.03,Investment Fund Managers,Physics,1.27
900,11-3031.03,Investment Fund Managers,Therapy and Counseling,1.27
898,11-3031.03,Investment Fund Managers,Medicine and Dentistry,1.35
914,11-3031.03,Investment Fund Managers,Public Safety and Security,1.41
876,11-3031.03,Investment Fund Managers,Engineering and Technology,1.52
922,11-3031.03,Investment Fund Managers,Transportation,1.62
870,11-3031.03,Investment Fund Managers,Production and Processing,1.63
860,11-3031.03,Investment Fund Managers,Administrative,1.74
894,11-3031.03,Investment Fund Managers,Sociology and Anthropology,1.89
918,11-3031.03,Investment Fund Managers,Telecommunications,1.89
896,11-3031.03,Investment Fund Managers,Geography,1.95
910,11-3031.03,Investment Fund Managers,History and Archeology,2.09
892,11-3031.03,Investment Fund Managers,Psychology,2.31
868,11-3031.03,Investment Fund Managers,Personnel and Human Resources,2.38
920,11-3031.03,Investment Fund Managers,Communications and Media,2.54
902,11-3031.03,Investment Fund Managers,Education and Training,2.56
864,11-3031.03,Investment Fund Managers,Sales and Marketing,3.01
874,11-3031.03,Investment Fund Managers,Computers and Electronics,3.1
916,11-3031.03,Investment Fund Managers,Law and Government,3.14
858,11-3031.03,Investment Fund Managers,Administration and Management,3.19
866,11-3031.03,Investment Fund Managers,Customer and Personal Service,3.67
884,11-3031.03,Investment Fund Managers,Mathematics,4.34
904,11-3031.03,Investment Fund Managers,English Language,4.36
862,11-3031.03,Investment Fund Managers,Economics and Accounting,4.67
974,11-3051.00,Industrial Production Managers,Fine Arts,1.0
976,11-3051.00,Industrial Production Managers,History and Archeology,1.14
938,11-3051.00,Industrial Production Managers,Food Production,1.33
964,11-3051.00,Industrial Production Managers,Medicine and Dentistry,1.39
956,11-3051.00,Industrial Production Managers,Biology,1.47
978,11-3051.00,Industrial Production Managers,Philosophy and Theology,1.57
972,11-3051.00,Industrial Production Managers,Foreign Language,1.7
966,11-3051.00,Industrial Production Managers,Therapy and Counseling,1.72
962,11-3051.00,Industrial Production Managers,Geography,1.82
960,11-3051.00,Industrial Production Managers,Sociology and Anthropology,1.91
946,11-3051.00,Industrial Production Managers,Building and Construction,1.92
952,11-3051.00,Industrial Production Managers,Physics,1.96
954,11-3051.00,Industrial Production Managers,Chemistry,2.07
